'product_id','score','name','displayName','typePim','type','slug','price','industry','brand','productType','group','keySellingPoints','units','image','originalPrice','currentPrice','discountPercentage','endTimeDiscount','promotions','totalInventory','skus'
'032855416896','20.574686','Dell Inspiron 15 N3530 i7 1355U_N5I7305W1','Dell Inspiron 15 N3530 i7 1355U_N5I7305W1','Normal','Normal','may-tinh-xach-tay/dell-inspiron-15-n3530-i7-1355u-n5i7305w1','22490000','{"code":"04","name":"Máy tính"}','{"code":"26","name":"Dell"}','{"code":"04001","name":"Laptop"}','','','','/D:/CodingStuff/Shopping Recommendation System/target/classes/com/project/shoppingrecommendationsystem/data/FPTShop/images/032855416896.png','22490000','21490000','4','2025-03-27T23:59:00.000+07:00','','0',''
'861557153993','20.359142','HP 14s-em0086AU R5 7520U (835T9PA)','HP 14s-em0086AU R5 7520U (835T9PA)','Normal','Normal','may-tinh-xach-tay/hp-14s-em0086au-r5-7520u','15190000','{"code":"04","name":"Máy tính"}','{"code":"43","name":"HP"}','{"code":"04001","name":"Laptop"}','{"code":"04001002","name":"Laptop AMD"}','','','/D:/CodingStuff/Shopping Recommendation System/target/classes/com/project/shoppingrecommendationsystem/data/FPTShop/images/861557153993.jpg','15190000','12790000','16','2025-03-27T23:59:00.000+07:00','','0',''
'120117528553','20.35676','Acer Aspire Lite AL14-52M-54CJ i5 1334U','Acer Aspire Lite AL14-52M-54CJ i5 1334U','Normal','Normal','may-tinh-xach-tay/acer-aspire-lite-al14-52m-54cj','15790000','{"code":"04","name":"Máy tính"}','{"code":"2","name":"Acer"}','{"code":"04001","name":"Laptop"}','','','','/D:/CodingStuff/Shopping Recommendation System/target/classes/com/project/shoppingrecommendationsystem/data/FPTShop/images/120117528553.png','15790000','14990000','5','2025-03-27T23:59:00.000+07:00','','0',''
'359513625041','10.712398','Asus Vivobook X1504VA-NJ526W i5 1335U','Asus Vivobook X1504VA-NJ526W i5 1335U','Normal','Normal','may-tinh-xach-tay/asus-vivobook-x1504va-nj526w-i5-1335u','18990000','{"code":"04","name":"Máy tính"}','{"code":"10","name":"Asus"}','{"code":"04001","name":"Laptop"}','{"code":"04001003","name":"Laptop Intel"}','','','/D:/CodingStuff/Shopping Recommendation System/target/classes/com/project/shoppingrecommendationsystem/data/FPTShop/images/359513625041.jpg','18990000','15490000','18','2025-03-27T23:59:00.000+07:00','','0',''
'615023827674','10.712799','HP 15-fd0235TU i5-1334U (9Q970PA)','HP 15-fd0235TU i5-1334U (9Q970PA)','Normal','Normal','may-tinh-xach-tay/hp-15-fd0235tu-i5-1334u','19590000','{"code":"04","name":"Máy tính"}','{"code":"43","name":"HP"}','{"code":"04001","name":"Laptop"}','{"code":"04001003","name":"Laptop Intel"}','','','/D:/CodingStuff/Shopping Recommendation System/target/classes/com/project/shoppingrecommendationsystem/data/FPTShop/images/615023827674.jpg','19590000','15690000','20','2025-03-27T23:59:00.000+07:00','','0',''
'510107136851','20.359142','HP Pavilion 15-eg3111TU i5 1335U (8U6L8PA)','HP Pavilion 15-eg3111TU i5 1335U (8U6L8PA)','Normal','Normal','may-tinh-xach-tay/hp-pavilion-15-eg3111tu-i5-1335u','21290000','{"code":"04","name":"Máy tính"}','{"code":"43","name":"HP"}','{"code":"04001","name":"Laptop"}','{"code":"04001003","name":"Laptop Intel"}','','','/D:/CodingStuff/Shopping Recommendation System/target/classes/com/project/shoppingrecommendationsystem/data/FPTShop/images/510107136851.jpg','21290000','17690000','17','2025-03-27T23:59:00.000+07:00','','0',''
'970118640110','10.710114','Acer Aspire 7 A715-76-53PJ i5 12450H (NH.QGESV.007)','Acer Aspire 7 A715-76-53PJ i5 12450H (NH.QGESV.007)','Normal','Normal','may-tinh-xach-tay/acer-aspire-7-a715-76-53pj-i5-12450h','16990000','{"code":"04","name":"Máy tính"}','{"code":"2","name":"Acer"}','{"code":"04001","name":"Laptop"}','{"code":"04001003","name":"Laptop Intel"}','','','/D:/CodingStuff/Shopping Recommendation System/target/classes/com/project/shoppingrecommendationsystem/data/FPTShop/images/970118640110.jpg','16990000','13990000','18','2025-03-27T23:59:00.000+07:00','','0',''
'562862215986','20.359123','Dell Inspiron N3530 i5 1334U_71043885','Dell Inspiron N3530 i5 1334U_71043885','Normal','Normal','may-tinh-xach-tay/dell-inspiron-n3530-i5-1334u-71043885','19990000','{"code":"04","name":"Máy tính"}','{"code":"26","name":"Dell"}','{"code":"04001","name":"Laptop"}','{"code":"04001003","name":"Laptop Intel"}','','','/D:/CodingStuff/Shopping Recommendation System/target/classes/com/project/shoppingrecommendationsystem/data/FPTShop/images/562862215986.png','19990000','18490000','8','2025-03-31T23:59:00.000+07:00','','0',''
'906860812660','10.705202','Lenovo Gaming LOQ 15IAX9 i5 12450HX (83GS00DAVN)','Lenovo Gaming LOQ 15IAX9 i5 12450HX (83GS00DAVN)','Normal','Normal','may-tinh-xach-tay/lenovo-gaming-loq-15iax9-i5-12450hx-24gb-512gb','28490000','{"code":"04","name":"Máy tính"}','{"code":"64","name":"Lenovo"}','{"code":"04001","name":"Laptop"}','{"code":"04001003","name":"Laptop Intel"}','','','/D:/CodingStuff/Shopping Recommendation System/target/classes/com/project/shoppingrecommendationsystem/data/FPTShop/images/906860812660.jpg','28490000','26290000','8','2025-03-27T23:59:00.000+07:00','','0',''
'121144012382','10.712704','HP 14s-dq5121TU i3-1215U (8W355PA)','HP 14s-dq5121TU i3-1215U (8W355PA)','Normal','Normal','may-tinh-xach-tay/hp-14s-dq5121tu-i3-1215u','12990000','{"code":"04","name":"Máy tính"}','{"code":"43","name":"HP"}','{"code":"04001","name":"Laptop"}','{"code":"04001003","name":"Laptop Intel"}','','','/D:/CodingStuff/Shopping Recommendation System/target/classes/com/project/shoppingrecommendationsystem/data/FPTShop/images/121144012382.jpg','12990000','9490000','27','2025-03-27T23:59:00.000+07:00','','0',''
'859111987014','10.704233','Acer Swift X SFX16-51G-516Q i5 11320H (NX.AYKSV.002)','Acer Swift X SFX16-51G-516Q i5 11320H (NX.AYKSV.002)','Normal','Normal','may-tinh-xach-tay/acer-swift-x-sfx16-51g-516q-i5-11320h','22990000','{"code":"04","name":"Máy tính"}','{"code":"2","name":"Acer"}','{"code":"04001","name":"Laptop"}','{"code":"04001003","name":"Laptop Intel"}','','','/D:/CodingStuff/Shopping Recommendation System/target/classes/com/project/shoppingrecommendationsystem/data/FPTShop/images/859111987014.jpg','22990000','17990000','22','2025-03-27T23:59:00.000+07:00','','0',''
'382313126939','10.709948','HP 15-fc0089AU R7-7730U (A94XWPA)','HP 15-fc0089AU R7-7730U (A94XWPA)','Normal','Normal','may-tinh-xach-tay/hp-15-fc0089au-a94xwpa-r7-7730u','19490000','{"code":"04","name":"Máy tính"}','{"code":"43","name":"HP"}','{"code":"04001","name":"Laptop"}','{"code":"04001002","name":"Laptop AMD"}','','','/D:/CodingStuff/Shopping Recommendation System/target/classes/com/project/shoppingrecommendationsystem/data/FPTShop/images/382313126939.png','19490000','15490000','21','2025-03-27T23:59:00.000+07:00','','0',''
'961595214074','10.702747','Lenovo Gaming LOQ 15IAX9 i5-12450HX (83GS001RVN)','Lenovo Gaming LOQ 15IAX9 i5-12450HX (83GS001RVN)','Normal','Normal','may-tinh-xach-tay/lenovo-gaming-loq-15iax9-i5-12450hx-12gb-rtx3050','21990000','{"code":"04","name":"Máy tính"}','{"code":"64","name":"Lenovo"}','{"code":"04001","name":"Laptop"}','{"code":"04001003","name":"Laptop Intel"}','','','/D:/CodingStuff/Shopping Recommendation System/target/classes/com/project/shoppingrecommendationsystem/data/FPTShop/images/961595214074.jpg','21990000','20590000','6','2025-03-27T23:59:00.000+07:00','','0',''
'108821314687','10.694114','Acer Aspire 7 Gaming A715-76G-73FM i7 12650H','Acer Aspire 7 Gaming A715-76G-73FM i7 12650H','Normal','Normal','may-tinh-xach-tay/acer-aspire-7-gaming-a715-76g-73fm-i7-12650h','25690000','{"code":"04","name":"Máy tính"}','{"code":"2","name":"Acer"}','{"code":"04001","name":"Laptop"}','{"code":"04001003","name":"Laptop Intel"}','','','/D:/CodingStuff/Shopping Recommendation System/target/classes/com/project/shoppingrecommendationsystem/data/FPTShop/images/108821314687.png','25690000','17490000','32','2025-03-27T23:59:00.000+07:00','','0',''
'872126614527','10.695202','Acer Aspire Lite 16 AL16-51P-72S2 i7 1255U','Acer Aspire Lite 16 AL16-51P-72S2 i7 1255U','Normal','Normal','may-tinh-xach-tay/acer-aspire-lite-16-al16-51p-72s2-i7-1255u','16990000','{"code":"04","name":"Máy tính"}','{"code":"2","name":"Acer"}','{"code":"04001","name":"Laptop"}','{"code":"04001003","name":"Laptop Intel"}','','','/D:/CodingStuff/Shopping Recommendation System/target/classes/com/project/shoppingrecommendationsystem/data/FPTShop/images/872126614527.png','16990000','15990000','6','2025-03-31T23:59:00.000+07:00','','0',''
'595590528078','10.705925','MSI Gaming Katana 15 B13UDXK-2213VN i5 13500H','MSI Gaming Katana 15 B13UDXK-2213VN i5 13500H','Normal','Normal','may-tinh-xach-tay/msi-gaming-katana-15-b13udxk-2213vn-i5-13500h','24990000','{"code":"04","name":"Máy tính"}','{"code":"131","name":"MSI"}','{"code":"04001","name":"Laptop"}','{"code":"04001003","name":"Laptop Intel"}','','','/D:/CodingStuff/Shopping Recommendation System/target/classes/com/project/shoppingrecommendationsystem/data/FPTShop/images/595590528078.png','24990000','21990000','12','2025-03-27T23:59:00.000+07:00','','0',''
'554487313440','10.712789','Dell Inspiron 15 3520 i5 1235U_71061229','Dell Inspiron 15 3520 i5 1235U_71061229','Normal','Normal','may-tinh-xach-tay/dell-inspiron-15-3520-i5-1235u-71061229','17290000','{"code":"04","name":"Máy tính"}','{"code":"26","name":"Dell"}','{"code":"04001","name":"Laptop"}','','','','/D:/CodingStuff/Shopping Recommendation System/target/classes/com/project/shoppingrecommendationsystem/data/FPTShop/images/554487313440.png','17290000','16490000','5','2025-03-31T23:59:00.000+07:00','','0',''
'600820810362','10.680087','Lenovo V15 G4 IRU i5 13420H (83A100G0VN)','Lenovo V15 G4 IRU i5 13420H (83A100G0VN)','Normal','Normal','may-tinh-xach-tay/lenovo-v15-g4-iru-i5-13420h-16gb','15990000','{"code":"04","name":"Máy tính"}','{"code":"64","name":"Lenovo"}','{"code":"04001","name":"Laptop"}','{"code":"04001003","name":"Laptop Intel"}','','','/D:/CodingStuff/Shopping Recommendation System/target/classes/com/project/shoppingrecommendationsystem/data/FPTShop/images/600820810362.jpg','15990000','14990000','6','2025-03-27T23:59:00.000+07:00','','0',''
'220525936415','10.625638','Asus TUF Gaming FA506NFR-HN006W R7-7435HS','Asus TUF Gaming FA506NFR-HN006W R7-7435HS','Normal','Normal','may-tinh-xach-tay/asus-tuf-gaming-fa506nfr-hn006w-r7-7435hs','19990000','{"code":"04","name":"Máy tính"}','{"code":"10","name":"Asus"}','{"code":"04001","name":"Laptop"}','{"code":"04001002","name":"Laptop AMD"}','','','/D:/CodingStuff/Shopping Recommendation System/target/classes/com/project/shoppingrecommendationsystem/data/FPTShop/images/220525936415.jpg','19990000','17690000','12','2025-03-27T23:59:00.000+07:00','','0',''
'275666611887','10.672037','Acer Aspire 7 A715-76G-59MW i5-12450H','Acer Aspire 7 A715-76G-59MW i5-12450H','Normal','Normal','may-tinh-xach-tay/acer-aspire-7-a715-76g-59mw-i5-12450h','21490000','{"code":"04","name":"Máy tính"}','{"code":"2","name":"Acer"}','{"code":"04001","name":"Laptop"}','{"code":"04001003","name":"Laptop Intel"}','','','/D:/CodingStuff/Shopping Recommendation System/target/classes/com/project/shoppingrecommendationsystem/data/FPTShop/images/275666611887.jpg','21490000','15990000','26','2025-03-27T23:59:00.000+07:00','','0',''
'052698224173','10.616471','Asus Vivobook 14 A1407CA-LY008WS Ultra 5-225H','Asus Vivobook 14 A1407CA-LY008WS Ultra 5-225H','Normal','Normal','may-tinh-xach-tay/asus-vivobook-14-a1407ca-ly008ws','22490000','{"code":"04","name":"Máy tính"}','{"code":"10","name":"Asus"}','{"code":"04001","name":"Laptop"}','','','','/D:/CodingStuff/Shopping Recommendation System/target/classes/com/project/shoppingrecommendationsystem/data/FPTShop/images/052698224173.png','22490000','21490000','4','2025-03-31T23:59:00.000+07:00','','0',''
'935782834351','10.689045','Lenovo Ideapad Slim 3 - 15ABR8 R5 5625U (82XM00MDVN)','Lenovo Ideapad Slim 3 - 15ABR8 R5 5625U (82XM00MDVN)','Normal','Normal','may-tinh-xach-tay/lenovo-ideapad-slim-3-15abr8-82xm00mdvn','14490000','{"code":"04","name":"Máy tính"}','{"code":"64","name":"Lenovo"}','{"code":"04001","name":"Laptop"}','','','','/D:/CodingStuff/Shopping Recommendation System/target/classes/com/project/shoppingrecommendationsystem/data/FPTShop/images/935782834351.png','14490000','12490000','14','2025-03-27T23:59:00.000+07:00','','0',''
'698130926378','10.585345','Acer Nitro 5 Tiger Gaming AN515-58-5193 i5 12450H','Acer Nitro 5 Tiger Gaming AN515-58-5193 i5 12450H','Normal','Normal','may-tinh-xach-tay/acer-nitro-5-tiger-gaming-an515-58-5193-i5-12450h','26990000','{"code":"04","name":"Máy tính"}','{"code":"2","name":"Acer"}','{"code":"04001","name":"Laptop"}','{"code":"04001003","name":"Laptop Intel"}','','','/D:/CodingStuff/Shopping Recommendation System/target/classes/com/project/shoppingrecommendationsystem/data/FPTShop/images/698130926378.png','26990000','20990000','22','2025-03-27T23:59:00.000+07:00','','0',''
'510107136292','10.627364','HP 15-fd0083TU i7 1355U (8D736PA)','HP 15-fd0083TU i7 1355U (8D736PA)','Normal','Normal','may-tinh-xach-tay/hp-15-fd0083tu-i7-1355u','22490000','{"code":"04","name":"Máy tính"}','{"code":"43","name":"HP"}','{"code":"04001","name":"Laptop"}','{"code":"04001003","name":"Laptop Intel"}','','','/D:/CodingStuff/Shopping Recommendation System/target/classes/com/project/shoppingrecommendationsystem/data/FPTShop/images/510107136292.jpg','22490000','19990000','11','2025-03-27T23:59:00.000+07:00','','0',''
'221302828848','10.66098','Lenovo IdeaPad Slim 5 OLED 15ARP10 R7 7735HS (83J3001DVN)','Lenovo IdeaPad Slim 5 OLED 15ARP10 R7 7735HS (83J3001DVN)','Normal','Normal','may-tinh-xach-tay/lenovo-ideapad-slim-5-oled-15arp10-83j3001dvn','21490000','{"code":"04","name":"Máy tính"}','{"code":"64","name":"Lenovo"}','{"code":"04001","name":"Laptop"}','','','','/D:/CodingStuff/Shopping Recommendation System/target/classes/com/project/shoppingrecommendationsystem/data/FPTShop/images/221302828848.png','21490000','20490000','5','2025-03-27T23:59:00.000+07:00','','0',''
'822234810184','10.576788','Lenovo IdeaPad Slim 3 14IRH10 i5-13420H (83K00008VN)','Lenovo IdeaPad Slim 3 14IRH10 i5-13420H (83K00008VN)','Normal','Normal','may-tinh-xach-tay/lenovo-ideapad-slim-3-14irh10-83k00008vn','16490000','{"code":"04","name":"Máy tính"}','{"code":"64","name":"Lenovo"}','{"code":"04001","name":"Laptop"}','','','','/D:/CodingStuff/Shopping Recommendation System/target/classes/com/project/shoppingrecommendationsystem/data/FPTShop/images/822234810184.png','16490000','15590000','5','2025-03-27T23:59:00.000+07:00','','0',''
'792661839250','10.574866','Asus Vivobook X1504ZA-NJ1039W i7-1255U','Asus Vivobook X1504ZA-NJ1039W i7-1255U','Normal','Normal','may-tinh-xach-tay/asus-vivobook-x1504za-nj1039w-i7-1255u','17990000','{"code":"04","name":"Máy tính"}','{"code":"10","name":"Asus"}','{"code":"04001","name":"Laptop"}','{"code":"04001003","name":"Laptop Intel"}','','','/D:/CodingStuff/Shopping Recommendation System/target/classes/com/project/shoppingrecommendationsystem/data/FPTShop/images/792661839250.png','17990000','15990000','11','2025-03-27T23:59:00.000+07:00','','0',''
'917839116095','10.657776','HP 15-fd0305TU i3 1315U_A2NL6PA','HP 15-fd0305TU i3 1315U_A2NL6PA','Normal','Normal','may-tinh-xach-tay/hp-15-fd0305tu-i3-1315u-a2nl6pa','12490000','{"code":"04","name":"Máy tính"}','{"code":"43","name":"HP"}','{"code":"04001","name":"Laptop"}','','','','/D:/CodingStuff/Shopping Recommendation System/target/classes/com/project/shoppingrecommendationsystem/data/FPTShop/images/917839116095.jpg','12490000','10990000','12','2025-03-27T23:59:00.000+07:00','','0',''
'861557159583','10.601995','MSI Modern 14 C13M-608VN i5 1335U','MSI Modern 14 C13M-608VN i5 1335U','Normal','Normal','may-tinh-xach-tay/msi-modern-14-c13m-608vn-i5-1335u','13490000','{"code":"04","name":"Máy tính"}','{"code":"131","name":"MSI"}','{"code":"04001","name":"Laptop"}','{"code":"04001003","name":"Laptop Intel"}','','','/D:/CodingStuff/Shopping Recommendation System/target/classes/com/project/shoppingrecommendationsystem/data/FPTShop/images/861557159583.jpg','13490000','12990000','4','2025-03-31T23:59:00.000+07:00','','0',''
'708793233419','10.576468','Asus Vivobook Gaming K3605ZC-RP564W i5-12500H','Asus Vivobook Gaming K3605ZC-RP564W i5-12500H','Normal','Normal','may-tinh-xach-tay/asus-vivobook-gaming-k3605zc-rp564w-i5-12500h','21990000','{"code":"04","name":"Máy tính"}','{"code":"10","name":"Asus"}','{"code":"04001","name":"Laptop"}','{"code":"04001003","name":"Laptop Intel"}','','','/D:/CodingStuff/Shopping Recommendation System/target/classes/com/project/shoppingrecommendationsystem/data/FPTShop/images/708793233419.png','21990000','18990000','14','2025-03-27T23:59:00.000+07:00','','0',''
'741127624775','10.577563','Asus Vivobook X1404ZA-NK387W i3 1215U','Asus Vivobook X1404ZA-NK387W i3 1215U','Normal','Normal','may-tinh-xach-tay/asus-vivobook-x1404za-nk387w-i3-1215u','11990000','{"code":"04","name":"Máy tính"}','{"code":"10","name":"Asus"}','{"code":"04001","name":"Laptop"}','{"code":"04001003","name":"Laptop Intel"}','','','/D:/CodingStuff/Shopping Recommendation System/target/classes/com/project/shoppingrecommendationsystem/data/FPTShop/images/741127624775.jpg','11990000','9990000','17','2025-03-27T23:59:00.000+07:00','','0',''
'611307815062','10.577765','Asus TUF Gaming A15 FA506NCR-HN047W R7-7435HS','Asus TUF Gaming A15 FA506NCR-HN047W R7-7435HS','Normal','Normal','may-tinh-xach-tay/asus-tuf-gaming-a15-fa506ncr-hn047w-r7-7435hs','21990000','{"code":"04","name":"Máy tính"}','{"code":"10","name":"Asus"}','{"code":"04001","name":"Laptop"}','{"code":"04001002","name":"Laptop AMD"}','','','/D:/CodingStuff/Shopping Recommendation System/target/classes/com/project/shoppingrecommendationsystem/data/FPTShop/images/611307815062.png','21990000','19490000','11','2025-03-27T23:59:00.000+07:00','','0',''
