'data-id','data-issetup','data-maingroup','data-subgroup','data-type','data-vehicle','data-productcode','data-price-root','data-ordertypeid','data-pos','sourceURL','data-s','data-site','data-pro','data-cache','data-sv','data-name','data-id','data-price','data-brand','data-cate','data-box','data-pos','data-color','data-productstatus','data-premium','data-promotiontype','imageURL','percent','gift','rating','unit-sold'
'330162','0','22','42','1','1','0220042002845','19990000.0','154','12','/laptop/asus-fa506nfr-r7-hn113w','TwoPriceDetail','1','3','True','webtgdd-26-83','Laptop Asus TUF Gaming A15 FA506NFR R7 7435HS/16GB/512GB/4GB RTX2050/144Hz/Win11 (HN113W)','330162','17690000.0','Asus','Laptop','BoxCate','0','Đen','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/330162.jpg','-11%','Quà 2.490.000₫','4.9','• Đã bán 650'
'326830','0','22','42','1','1','0220042002733','24990000.0','2','14','/laptop/hp-pavilion-x360-14-ek2024tu-core-5-9z2v6pa','Nomal','1','3','True','webtgdd-26-83','Laptop HP Pavilion X360 14 ek2024TU Core 5 120U/16GB/512GB/Touch/Pen/Win11 (9Z2V6PA)','326830','23990000.0','HP','Laptop','BoxCate','0','Vàng','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/326830.jpg','0%','Quà 2.490.000₫','5','• Đã bán 1k'
'322073','0','22','42','1','1','0220042002563','19490000.0','2','18','/laptop/lenovo-ideapad-slim-3-15irh8-i7-83em003fvn','Nomal','1','3','True','webtgdd-26-83','Laptop Lenovo Ideapad Slim 3 15IRH8 i7 13620H/16GB/1TB/Win11 (83EM003FVN)','322073','19190000.0','Lenovo','Laptop','BoxCate','0','Xám','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/322073.jpg','0%','Quà 2.490.000₫','4.9','• Đã bán 2,1k'
'326122','0','22','42','1','1','0220042002698','26990000.0','154','19','/laptop/msi-katana-15-b13udxk-i7-2077vn','TwoPriceDetail','1','3','True','webtgdd-26-83','Laptop MSI Gaming Katana 15 B13UDXK i7 13620H/16GB/1TB/6GB RTX3050/144Hz/Balo/Win11 (2077VN)','326122','24890000.0','MSI','Laptop','BoxCate','0','Đen','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/326122.jpg','-7%','Quà 2.490.000₫','4.9','• Đã bán 775'
'317712','0','22','42','1','1','0220042002465','11990000.0','154','20','/laptop/asus-vivobook-x1404za-i3-nk246w','TwoPriceDetail','1','3','True','webtgdd-26-83','Laptop Asus Vivobook X1404ZA i3 1215U/8GB/512GB/Win11 (NK246W)','317712','10390000.0','Asus','Laptop','BoxCate','0','Bạc','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/317712.jpg','-13%','Quà 2.490.000₫','4.9','• Đã bán 6,2k'
'312414','0','22','42','1','1','0220042002367','12290000.0','2','1','/laptop/asus-vivobook-15-x1504za-i3-nj102w','Nomal','1','3','True','webtgdd-26-83','Laptop Asus Vivobook 15 X1504ZA i3 1215U/8GB/512GB/Win11 (NJ102W)','312414','10690000.0','Asus','Laptop','BoxCate','0','Bạc','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/312414.jpg','-13%','Quà 2.490.000₫','4.9','• Đã bán 10,3k'
'337474','0','22','42','1','1','0220042003186','15990000.0','2','2','/laptop/dell-inspiron-15-3520-i5-n3520i5u085w11slu','Nomal','1','3','True','webtgdd-26-83','Laptop Dell Inspiron 15 3520 i5 1235U/8GB/512GB/120Hz/OfficeHS24+365/Win11 (N3520-i5U085W11SLU)','337474','14990000.0','Dell','Laptop','BoxCate','0','Bạc','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/337474.jpg','-6%','Quà 400.000₫','null','Mẫu mới'
'327097','0','22','42','1','1','0220042002744','20990000.0','154','4','/laptop/hp-15-fd1063tu-ultra-5-9z2y1pa','TwoPriceDetail','1','3','True','webtgdd-26-83','Laptop HP 15 fd1063TU Ultra 5 125H/16GB/512GB/Win11 (9Z2Y1PA)','327097','18690000.0','HP','Laptop','BoxCate','0','Vàng','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/327097.jpg','-10%','Quà 2.490.000₫','5','• Đã bán 717'
'272282','0','22','42','1','1','0220042001908','27990000.0','154','3','/laptop/acer-nitro-5-tiger-an515-58-52sp-i5-nhqfhsv001','TwoPriceDetail','1','3','True','webtgdd-26-83','Laptop Acer Gaming Nitro 5 Tiger AN515 58 52SP i5 12500H/8GB/512GB/4GB RTX3050/144Hz/Win11 (NH.QFHSV.001)','272282','18690000.0','Acer','Laptop','BoxCate','0','Đen','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/272282.jpg','-33%','Quà 3.290.000₫','4.9','• Đã bán 1,3k'
'327707','0','22','42','1','1','0220042002761','26990000.0','2','6','/laptop/msi-cyborg-15-a13vek-i7-1423vn','Nomal','1','3','True','webtgdd-26-83','Laptop MSI Gaming Cyborg 15 A13VEK i7 13620H/16GB/512GB/6GB RTX4050/144Hz/Balo/Win11 (1423VN)','327707','24690000.0','MSI','Laptop','BoxCate','0','Đen','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/327707.jpg','-8%','Quà 2.490.000₫','5','• Đã bán 493'
'311177','0','22','42','1','1','0220042002357','25290000.0','2','5','/laptop/hp-pavilion-15-eg3091tu-i7-8c5l2pa','Nomal','1','3','True','webtgdd-26-83','Laptop HP Pavilion 15 eg3091TU i7 1355U/16GB/512GB/Win11 (8C5L2PA)','311177','23690000.0','HP','Laptop','BoxCate','0','Vàng','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/311177.jpg','-6%','Quà 2.490.000₫','4.9','• Đã bán 1,5k'
'332369','0','22','42','1','1','0220042002938','20590000.0','154','7','/laptop/lenovo-thinkbook-16-g6-i5-21kh00q0vn','TwoPriceDetail','1','3','True','webtgdd-26-83','Laptop Lenovo ThinkBook 16 G6 i5 13420H/16GB/512GB/Win11 (21KH00Q0VN)','332369','18690000.0','Lenovo','Laptop','BoxCate','0','Xám','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/332369.jpg','-9%','Quà 2.640.000₫','5','• Đã bán 111'
